Name,IATA,ICAO,HQ,Bases,Destinations,Callsign,Country Code,Website,Key Personnel,Employees,Revenue,Profit,Fleet Size,Fleet Type,Destination Names,Alliance,Frequent Flyer Programs,Codeshare Agreements,Interline Agreements,Founded,Operating Bases,Parent Company,Focus Cities,Subsidiaries,Careers Link,Wikipedia URL
Alliance Air,9I,LLR,"Delhi , India",Chhatrapati Shivaji Maharaj International Airport ( Mumbai ) ; Chennai International Airport ( Chennai ) ; Indira Gandhi International Airport ( Delhi ) ; Kempegowda International Airport ( Bengaluru ) ; Netaji Subhas Chandra Bose International Airport ( Kolkata ) ; Rajiv Gandhi International Airport ( Hyderabad ),39,ALLIED,,www .allianceair .in,"Rajarshi Sen, CEO",835 (as of 31 March 2022), 72.41 billion (US$760 million) (FY 2021-22), 44.74 billion (US$470 million) (FY 2021-22),11,,Tirupati (TIR)  Tirupati Airport; Visakhapatnam Airport  Terminated; Itanagar (HGI)  Itanagar Airport; Dibrugarh (DIB)  Dibrugarh Airport; Chandigarh (IXC)  Shaheed Bhagat Singh International Airport; Bilaspur (PAB)  Bilaspur Airport; Diu (DIU)  Diu Airport; Delhi (DEL)  Indira Gandhi International Airport; Goa (GOI)  Dabolim Airport; Ahmedabad (AMD)  Sardar Vallabhbhai Patel International Airport; Hisar (HSS)  Hisar Airport; Dharamshala (DHM)  Kangra Airport; Jammu (IXJ)  Jammu Airport; Ranchi (IXR)  Birsa Munda Airport; Ballari (VDY)  Jindal Vijaynagar Airport; Kempegowda International Airport  Hub; Belgaum Airport  Terminated; Kalaburagi Airport  Terminated; Hubli Airport  Terminated; Mangalore International Airport  Terminated; Mysore Airport  Terminated; Kochi (COK)  Cochin International Airport; Agatti (AGX)  Agatti Airport; Bhopal (BHO)  Raja Bhoj Airport; Mumbai (BOM)  Chhatrapati Shivaji Maharaj International Airport; Kolhapur Airport  Terminated; Imphal (IMF)  Imphal Airport; Shillong (SHL)  Shillong Airport; Aizawl (AJL)  Aizawl Airport; Dimapur (DMU)  Dimapur Airport; Bhubaneswar (BBI)  Biju Patnaik Airport; Amritsar (ATQ)  Sri Guru Ram Dass Jee International Airport; Ludhiana Airport  Terminated; Pathankot Airport  Terminated; Bikaner (BKB)  Bikaner Airport; Jaipur International Airport  Hub; Jaisalmer Airport  Seasonal; Chennai (MAA)  Chennai International Airport; Coimbatore International Airport  Terminated; Madurai Airport  Terminated; Tiruchirappalli International Airport  Terminated; Hyderabad (HYD)  Rajiv Gandhi International Airport; Ayodhya (AYJ)  Ayodhya Airport; Dehradun (DED)  Dehradun Airport; Kolkata (CCU)  Netaji Subhas Chandra Bose International Airport,,,,,15 April 1996 ( 1996-04-15 ),Chhatrapati Shivaji Maharaj International Airport ( Mumbai ) ; Chennai International Airport ( Chennai ) ; Indira Gandhi International Airport ( Delhi ) ; Kempegowda International Airport ( Bengaluru ) ; Netaji Subhas Chandra Bose International Airport ( Kolkata ) ; Rajiv Gandhi International Airport ( Hyderabad ),,,,,https://en.wikipedia.org/wiki/Alliance_Air_%28India%29
Alliance Airlines,QQ,UTY,"Brisbane , Queensland , Australia",Adelaide ; Brisbane ; Cairns ; Darwin ; Perth ; Rockhampton ; Townsville,31,UNITY,,www .allianceairlines .com .au,Scott McMillan ( Managing Director) ; Stewart Tully (Chief Executive Officer),,,,82,,"Australia ( Australian Capital Territory ): Canberra (CBR)  Canberra Airport; Australia ( Christmas Island ): Christmas Island (XCH)  Christmas Island Airport; Australia ( Cocos (Keeling) Islands ): West Island (CCK)  Cocos (Keeling) Islands Airport; Australia ( New South Wales ): Albury (ABX)  Albury Airport; Bathurst: Bathurst Airport  Terminated; Cooma: Cooma-Snowy Mountains Airport  Seasonal; Lord Howe Island: Lord Howe Island Airport  Terminated; Narrabri: Narrabri Airport  Terminated; Sydney: Sydney Airport  Hub; Taree: Taree Airport  Terminated; Wollongong: Shellharbour Airport  Terminated; Australia ( Norfolk Island ): Norfolk Island (NLK)  Norfolk Island Airport; Australia ( Northern Territory ): Alice Springs (ASP)  Alice Springs Airport; Darwin: Darwin International Airport  Focus city; Gove: Gove Airport  Terminated; Biloela: Biloela Airport  Terminated; Blackwater: Blackwater Airport  Terminated; Brisbane: Brisbane Airport  Hub; Cairns: Cairns Airport  Focus city; Charleville: Charleville Airport  Terminated; Dunk Island: Dunk Island Airport  Terminated; Hayman Island:   Terminated; Roma: Roma Airport  Terminated; Winton: Winton Airport  Terminated; Australia ( South Australia ): Adelaide (ADL)  Adelaide Airport; Australia ( Tasmania ): Burnie (BWT)  Burnie Airport; Hobart: Hobart Airport  Focus city; Australia ( Victoria ): Bendigo (BXG)  Bendigo Airport; Melbourne: Melbourne Airport  Hub; Mount Hotham: Mount Hotham Airport  Terminated; Australia ( Western Australia ): Broome (BME)  Broome International Airport; Perth: Perth Airport  Hub; Tom Price: Tom Price Airport  Terminated; Chile: Santiago (SCL)  Arturo Merino Bentez International Airport; Shanghai: Shanghai Pudong International Airport  Terminated; Fiji: Nadi (NAN)  Nadi International Airport; France: Paris (CDG)  Charles de Gaulle Airport; Hong Kong: Hong Kong (HKG)  Hong Kong International Airport; India: Bengaluru (BLR)  Kempegowda International Airport; Kolkata: Netaji Subhas Chandra Bose International Airport  Terminated; Mumbai: Chhatrapati Shivaji Maharaj International Airport  Terminated; Indonesia: Denpasar (DPS)  Ngurah Rai International Airport; Italy: Rome (FCO)  Leonardo da VinciFiumicino Airport; Nagoya: Nagoya Komaki Airport  Terminated; Osaka: Kansai International Airport  Terminated; Sapporo: New Chitose Airport  Seasonal; Mexico City: Mexico City International Airport  Terminated; New Caledonia: Nouma (NOU)  La Tontouta International Airport; New Zealand: Auckland (AKL)  Auckland Airport; Rotorua: Rotorua Airport  Terminated; Palau: Koror (ROR)  Palau International Airport; Lae: Lae Airfield  Terminated; Madang: Madang Airport  Terminated; Rabaul: Rabaul Airport  Terminated; Wau: Wau Airport  Terminated; Philippines: Manila (MNL)  Ninoy Aquino International Airport; Samoa: Apia (APW)  Faleolo International Airport; Singapore: Singapore (SIN)  Changi Airport; Solomon Islands: Honiara (HIR)  Honiara International Airport; South Africa: Johannesburg (JNB)  O. R. Tambo International Airport; Timor-Leste: Dili (DIL)  Presidente Nicolau Lobato International Airport; Tonga: Nukualofa (TBU)  Fuaamotu International Airport; United Kingdom: London (LHR)  Heathrow Airport; Manchester: Manchester Airport  Terminated; Boston: Logan International Airport  Terminated; Chicago: O'Hare International Airport  Terminated; Las Vegas: Harry Reid International Airport  Begins 29 December 2026; Washington, D.C.: Dulles International Airport  Terminated; Vanuatu: Port Vila (VLI)  Bauerfield International Airport",,,,,5 April 2002 ( 2002-04-05 ),Adelaide ; Brisbane ; Cairns ; Darwin ; Perth ; Rockhampton ; Townsville,,,,,https://en.wikipedia.org/wiki/Alliance_Airlines
Allied Air,4W,AJK,"Lagos, Nigeria",Murtala Mohammed International Airport,13,BAMBI,,www .alliedairng .com,Val Tongo ( CEO ),,,,1,,,,,,,1998,Murtala Mohammed International Airport,,,,,https://en.wikipedia.org/wiki/Allied_Air
AlMasria Universal Airlines,UJ,LMU,"Cairo, Egypt",Cairo International Airport,2,ALMASRIA,,www .almasriaairlines .com,Ahmed Ismail (Chairman) ; Ahmed Gadallah (President & CEO),,,,8,,Egypt: Alexandria (HBE)  Borg El Arab Airport; Cairo: Cairo International Airport  Hub; Sharm El Sheikh: Sharm El Sheikh International Airport  Focus city; Italy: Milan (BGY)  Orio al Serio International Airport; Russia: Chelyabinsk (CEK)  Balandino Airport; Kaliningrad: Khrabrovo Airport  Seasonal charter; Kazan: abdulla Tuqay Kazan International Airport  Seasonal charter; Krasnodar: Krasnodar International Airport  Seasonal charter; Orenburg: Yuri Gagarin Orenburg International Airport  Seasonal charter; Perm: Bolshoye Savino Airport  Seasonal charter; Saint Petersburg: Pulkovo Airport  Seasonal charter; Tyumen: Roshchino Airport  Seasonal charter; Volgograd: Gumrak Airport  Seasonal charter; Saudi Arabia: Al-Qassim Region (ELQ)  Prince Nayef bin Abdulaziz International Airport; Turkey: Istanbul (IST)  Istanbul Airport,,,,,2008,Cairo International Airport,,,,,https://en.wikipedia.org/wiki/AlMasria_Universal_Airlines
Aloha Air Cargo,KH,AAH,"Honolulu , Hawaii",Daniel K. Inouye International Airport,5,ALOHA,,alohaaircargo .com,Betsy Seaton ( President & CEO ),,,,4,,,,,,,"July 26, 1946 ( 1946-07-26 ) (as Trans-Pacific Airlines ); May 15, 2008 ( 2008-05-15 ) (spinoff from the collapsed Aloha Airlines )",Daniel K. Inouye International Airport,,,,,https://en.wikipedia.org/wiki/Aloha_Air_Cargo
AlpAvia,AL,APP,,,0,ALPAVIA,,,,,,,0,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Timeline_of_Tbilisi
Alphaland Aviation,-,BIC,,,0,BALESIN,,,,,,,2,,,,,,,,,,,,,https://en.wikipedia.org/wiki/E._L._Tordesillas_Airport
Alpine Air Express,5A,AIP,"Provo, Utah , United States",Billings ; Denver ; Salt Lake City ; Sioux Falls,3,ALPINE AIR,,alpine-air .com,Michael Dancy (CEO) ; Bob Frisch (COO) ; Kevin Wade (CFO),,,,64,,,,,,,1971 ( 1971 ),Billings ; Denver ; Salt Lake City ; Sioux Falls,,,,,https://en.wikipedia.org/wiki/Alpine_Air_Express
Alrosa Air Company,6R,DRU,"Mirny , Russia",Mirny Airport ; Polyarny Airport,10,MIRNY,,alrosa.aero,,,,,37,,,,,,,2000 ( 2000 ),Mirny Airport ; Polyarny Airport,,,,,https://en.wikipedia.org/wiki/Alrosa_%28airline%29
ALS Ltd,K4,ALW,"Nairobi , Kenya",Wilson Airport,3,,,als .co .ke,,200+,,,0,,,,,,,,Wilson Airport,,,,,https://en.wikipedia.org/wiki/Aircraft_Leasing_Services
Alsie Express,6I,MMD,"Snderborg, Denmark",Snderborg Airport,7,,,www .alsieexpress .com,,,,,19,,,,,,,2013 ( 2013 ),Snderborg Airport,,,,,https://en.wikipedia.org/wiki/Alsie_Express
Amakusa Airlines,MZ,AHX,"Amakusa , Kumamoto Prefecture , Japan",Amakusa Airfield; Kumamoto Airport,4,AMAKUSA AIR,,www .amx .co .jp,Toru Okushima ( CEO ),,,,1,,Amakusa (AXJ)  Amakusa Airfield; Fukuoka (FUK)  Fukuoka Airport; Kumamoto (KMJ)  Kumamoto Airport; Osaka (ITM)  Itami Airport,,,,,"October 12, 1998 ( 1998-10-12 ); March 23, 2000 ( 2000-03-23 )",Amakusa Airfield; Kumamoto Airport,,,,,https://en.wikipedia.org/wiki/Amakusa_Airlines
Amapola Flyg,HP,APF,"Stockholm Arlanda Airport , Sweden",Stockholm Arlanda Airport,10,AMAPOLA,,www .populair .com,,,,,6,,Sweden: Arvidsjaur (AJR)  Arvidsjaur Airport; Jnkping: Jnkping Airport  Part of Jnkping-Oslo-Trondheim freight route; Stockholm: Stockholm Arlanda Airport  Base; Finland: Mariehamn (MHQ)  Mariehamn Airport; Norway: Oslo (OSL)  Gardermoen Airport; Trondheim: Trondheim Airport  From 2026 (freight),,,,,2004 ( 2004 ),Stockholm Arlanda Airport,,,,,https://en.wikipedia.org/wiki/PopulAir
Amaszonas,Z8,AZN,"Santa Cruz de la Sierra , Bolivia",El Alto International Airport; Viru Viru International Airport,0,AMASZONAS,,www .amaszonas .com,Luis Divino (Owner) ; Mauricio Souza ( CEO ),,,,0,,Cochabamba: Bolivia (CBB)  Jorge Wilstermann International Airport; El Alto International Airport: La Paz  Hub; Juan Mendoza Airport: Oruro  Terminated; Rurrenabaque Airport: Rurrenabaque  Terminated; Viru Viru International Airport: Santa Cruz de la Sierra  Focus city; Capitn Oriel Lea Plaza Airport: Tarija  Terminated; Teniente Jorge Henrich Arauz Airport: Trinidad  Terminated; Uyuni Airport: Uyuni  Terminated; Yacuiba Airport: Yacuiba  Terminated; Captain Anbal Arab Airport: Cobija  Terminated; Santa Ana del Yacuma Airport: Santa Ana del Yacuma  Terminated; Iquique: Chile (IQQ)  Diego Aracena International Airport; Asuncin: Paraguay (ASU)  Silvio Pettirossi International Airport; Guaran International Airport: Ciudad del Este  Terminated; Alejandro Velasco Astete International Airport: Cusco  Terminated; Capitn de Corbeta Carlos A. Curbelo International Airport: Punta del Este  Terminated,,AmasMiles,,,"October 1, 1998; 2000",El Alto International Airport; Viru Viru International Airport,,,,,https://en.wikipedia.org/wiki/L%C3%ADnea_A%C3%A9rea_Amaszonas
Amazon Air,-,MZN,,Cincinnati ; Hyderabad ; Leipzig/Halle ; San Bernardino; Fort Worth/Alliance ; MilanMalpensa ; Ontario ; Wilmington,0,AMAZON,,amazon .com /airplanes,Raoul Sreenivasan,,,,95,,Canada ( Alberta ): Calgary (YYC)  Calgary International Airport; Canada ( Alberta ): Edmonton (YEG)  Edmonton International Airport; Canada ( British Columbia ): Vancouver (YVR)  Vancouver International Airport; Canada ( Ontario ): Hamilton (YHM)  John C. Munro Hamilton International Airport; France: Paris (CDG)  Charles de Gaulle Airport; Germany: Cologne (CGN)  Cologne Bonn Airport; Germany: Hanover (HAJ)  Hannover Airport; Germany: Leipzig (LEJ)  Leipzig/Halle Airport *; India: Bangalore (BLR)  Kempegowda International Airport; India: Coimbatore (CJB)  Coimbatore International Airport; India: Delhi (DEL)  Indira Gandhi International Airport; India: Hyderabad (HYD)  Rajiv Gandhi International Airport *; India: Mumbai (BOM)  Chhatrapati Shivaji Maharaj International Airport; Italy: Cagliari (CAG)  Cagliari Elmas Airport; Italy: Catania (CTA)  CataniaFontanarossa Airport; Italy: Milan (MXP)  Milan Malpensa Airport; Italy: Rome (FCO)  Leonardo da VinciFiumicino Airport; Poland: Katowice (KTW)  Katowice Airport; Spain: Barcelona (BCN)  Josep Tarradellas BarcelonaEl Prat Airport; Spain: Madrid (MAD)  Adolfo Surez MadridBarajas Airport; Turkey: Istanbul (IST)  Istanbul Airport; United Kingdom: Castle Donington (EMA)  East Midlands Airport; United Kingdom: London (SEN)  London Southend Airport; United States ( Alabama ): Mobile (BFM)  Mobile International Airport; United States ( Alaska ): Anchorage (ANC)  Ted Stevens Anchorage International Airport; United States ( Alaska ): Fairbanks (FAI)  Fairbanks International Airport; United States ( Arizona ): Phoenix (PHX)  Phoenix Sky Harbor International Airport; United States ( California ): Ontario (ONT)  Ontario International Airport; United States ( California ): Riverside (RIV)  March Air Reserve Base; United States ( California ): Sacramento (SMF)  Sacramento International Airport; United States ( California ): San Bernardino (SBD)  San Bernardino International Airport *; United States ( California ): San Francisco (SFO)  San Francisco International Airport; United States ( California ): Stockton (SCK)  Stockton Metropolitan Airport; United States ( Colorado ): Denver (DEN)  Denver International Airport; United States ( Connecticut ): Hartford (BDL)  Bradley International Airport; United States ( Florida ): Miami (MIA)  Miami International Airport; United States ( Florida ): Lakeland (LAL)  Lakeland Linder International Airport; United States ( Florida ): Tampa (TPA)  Tampa International Airport; United States ( Georgia ): Atlanta (ATL)  HartsfieldJackson Atlanta International Airport; United States ( Hawaii ): Honolulu (HNL)  Daniel K. Inouye International Airport; United States ( Hawaii ): Kahului/Maui (OGG)  Kahului Airport; United States ( Hawaii ): Kona (KOA)  Ellison Onizuka Kona International Airport at Keahole; United States ( Illinois ): Chicago (ORD)  Chicago O'Hare International Airport; United States ( Illinois ): Chicago / Rockford (RFD)  Chicago Rockford International Airport; United States ( Indiana ): Fort Wayne (FWA)  Fort Wayne International Airport; United States ( Indiana ): South Bend (SBN)  South Bend International Airport; United States ( Iowa ): Des Moines (DSM)  Des Moines International Airport; United States ( Kansas ): Wichita (ICT)  Wichita Dwight D. Eisenhower National Airport; United States ( Louisiana ): New Orleans (MSY)  Louis Armstrong New Orleans International Airport; United States ( Maryland ): Baltimore (BWI)  Baltimore/Washington International Thurgood Marshall Airport; United States ( Minnesota ): Minneapolis (MSP)  MinneapolisSaint Paul International Airport; United States ( Missouri ): Kansas City (MCI)  Kansas City International Airport; United States ( Missouri ): St. Louis (STL)  St. Louis Lambert International Airport; United States ( Nebraska ): Omaha (OMA)  Eppley Airfield; United States ( New Hampshire ): Manchester (MHT)  Manchester-Boston Regional Airport; United States ( New Mexico ): Albuquerque (ABQ)  Albuquerque International Sunport; United States ( New York ): New York (JFK)  John F. Kennedy International Airport; United States ( North Carolina ): Charlotte (CLT)  Charlotte Douglas International Airport; United States ( Ohio ): Toledo (TOL)  Toledo Express Airport; United States ( Ohio ): Wilmington (ILN)  Airborne Airpark; United States ( Ohio / Kentucky ): Cincinnati / Covington (CVG)  Cincinnati/Northern Kentucky International Airport *; United States ( Oregon ): Portland (PDX)  Portland International Airport; United States ( Pennsylvania ): Allentown (ABE)  Lehigh Valley International Airport; United States ( Pennsylvania ): Pittsburgh (PIT)  Pittsburgh International Airport; United States ( Puerto Rico ): San Juan (SJU)  Luis Muoz Marn International Airport; United States ( Rhode Island ): Providence (PVD)  Rhode Island T. F. Green International Airport #; United States ( Tennessee ): Nashville (BNA)  Nashville International Airport; United States ( Texas ): Austin (AUS)  Austin-Bergstrom International Airport; United States ( Texas ): Dallas/Fort Worth (DFW)  Dallas/Fort Worth International Airport; United States ( Texas ): Fort Worth (AFW)  Perot Field Fort Worth Alliance Airport *; United States ( Texas ): Houston (IAH)  George Bush Intercontinental Airport; United States ( Texas ): San Antonio (SKF)  Kelly Field; United States ( Virginia ): Richmond (RIC)  Richmond International Airport; United States ( Washington ): Seattle/Tacoma (SEA)  SeattleTacoma International Airport; United States ( Washington ): Spokane (GEG)  Spokane International Airport,,,,,2015 ( 2015 ),Cincinnati ; Hyderabad ; Leipzig/Halle ; San Bernardino; Fort Worth/Alliance ; MilanMalpensa ; Ontario ; Wilmington,,,,,https://en.wikipedia.org/wiki/Amazon_Air
